NUMPOINTS,X,Y
94,-16330.04177,7230010.919262568
158,-16347.82177,7230022.879262568
634,-15697.37177,7229899.319262568
1279,-15716.09177,7229895.819262568
457,-15716.33177,7229896.339262568
562,-15697.54177,7229899.569262568
132,-16361.16177,7230029.399262568
583,-15697.48177,7229898.599262568
145,-16429.21177,7230021.929262568
159,-16367.67177,7230025.219262568
1768,-15752.04177,7229879.499262569
156,-16361.47177,7230045.849262568
187,-16365.44177,7229996.669262568
162,-16374.27177,7229993.289262569
521,-16202.01177,7229796.059262568
3595,-15850.86177,7229427.649262568
764,-15632.74177,7229807.339262568
5,-16428.34177,7229556.989262569
55,-16199.73177,7229708.599262568
519,-15725.97177,7229745.579262569
428,-15699.69177,7229849.259262568
1317,-16986.18177,7229521.979262568
73,-16663.90177,7229564.109262568
419,-15777.04177,7229684.879262568
15,-16201.58177,7229708.719262568
68,-16964.19177,7229779.249262569
781,-15530.49177,7229943.709262568
741,-15659.35177,7230073.839262568
587,-16056.12177,7229748.239262569
287,-16191.61177,7229713.459262568
914,-16174.55177,7229750.589262568
539,-16142.06177,7229729.209262568
1818,-16205.55177,7229748.719262568
1286,-16439.66177,7229778.969262568
313,-15634.82177,7229811.729262568
1515,-16200.72177,7229720.539262569
349,-16341.93177,7229814.679262568
205,-16228.53177,7229772.319262568
811,-15685.20177,7229894.189262568
36,-16661.09177,7229665.249262569
818,-15585.32177,7229930.759262568
840,-16332.69177,7229856.809262568
808,-15536.82177,7229983.089262568
617,-15704.37177,7229861.489262569
265,-16165.06177,7229895.049262568
16,-16645.98177,7229588.199262569
734,-16012.43177,7229955.189262568
117,-16357.05177,7229442.519262568
318,-16103.52177,7229733.759262568
50,-16650.45177,7229588.519262568
17,-16649.52177,7229588.229262568
12,-16648.97177,7229588.539262569
1784,-16217.35177,7229772.089262568
114,-15384.01177,7229462.739262569
100,-15894.76177,7229686.019262568
59,-16650.43177,7229569.769262568
64,-16908.61177,7229768.569262568
2253,-16458.54177,7229766.809262568
345,-16352.95177,7230020.019262568
40,-16353.51177,7230021.019262568
596,-15813.59177,7229671.179262568
